"start","Go.Goa.Gone.movie."
2013-05-01,7
2013-05-02,8
2013-05-03,8
2013-05-04,9
2013-05-05,10
2013-05-06,8
2013-05-07,9
2013-05-08,10
2013-05-09,20
2013-05-10,92
2013-05-11,100
2013-05-12,90
2013-05-13,64
2013-05-14,59
2013-05-15,55
2013-05-16,57
2013-05-17,61
2013-05-18,75
2013-05-19,58
2013-05-20,42
2013-05-21,36
2013-05-22,33
2013-05-23,36
2013-05-24,36
2013-05-25,50
2013-05-26,39
2013-05-27,29
2013-05-28,26
2013-05-29,28
2013-05-30,26
2013-05-31,28
