"start","Khoobsurat.movie."
2014-07-01,0
2014-07-02,0
2014-07-03,1
2014-07-04,0
2014-07-05,1
2014-07-06,0
2014-07-07,0
2014-07-08,0
2014-07-09,0
2014-07-10,0
2014-07-11,1
2014-07-12,1
2014-07-13,1
2014-07-14,2
2014-07-15,1
2014-07-16,1
2014-07-17,2
2014-07-18,3
2014-07-19,2
2014-07-20,2
2014-07-21,6
2014-07-22,5
2014-07-23,4
2014-07-24,3
2014-07-25,3
2014-07-26,9
2014-07-27,10
2014-07-28,5
2014-07-29,3
2014-07-30,3
2014-07-31,3
2014-08-01,2
2014-08-02,4
2014-08-03,3
2014-08-04,2
2014-08-05,2
2014-08-06,2
2014-08-07,3
2014-08-08,3
2014-08-09,3
2014-08-10,3
2014-08-11,3
2014-08-12,3
2014-08-13,4
2014-08-14,4
2014-08-15,4
2014-08-16,5
2014-08-17,4
2014-08-18,3
2014-08-19,4
2014-08-20,4
2014-08-21,4
2014-08-22,5
2014-08-23,7
2014-08-24,7
2014-08-25,7
2014-08-26,6
2014-08-27,6
2014-08-28,6
2014-08-29,8
2014-08-30,8
2014-08-31,7
2014-09-01,6
2014-09-02,6
2014-09-03,7
2014-09-04,8
2014-09-05,8
2014-09-06,12
2014-09-07,12
2014-09-08,8
2014-09-09,8
2014-09-10,8
2014-09-11,8
2014-09-12,11
2014-09-13,13
2014-09-14,14
2014-09-15,9
2014-09-16,11
2014-09-17,12
2014-09-18,17
2014-09-19,76
2014-09-20,100
2014-09-21,78
2014-09-22,50
2014-09-23,45
2014-09-24,41
2014-09-25,39
2014-09-26,42
2014-09-27,53
2014-09-28,40
2014-09-29,25
2014-09-30,23
