"start","Khoobsurat.movie."
2014-09-01,6
2014-09-02,6
2014-09-03,6
2014-09-04,8
2014-09-05,9
2014-09-06,12
2014-09-07,13
2014-09-08,9
2014-09-09,9
2014-09-10,8
2014-09-11,8
2014-09-12,10
2014-09-13,14
2014-09-14,13
2014-09-15,10
2014-09-16,11
2014-09-17,11
2014-09-18,17
2014-09-19,76
2014-09-20,100
2014-09-21,79
2014-09-22,49
2014-09-23,44
2014-09-24,41
2014-09-25,40
2014-09-26,43
2014-09-27,51
2014-09-28,41
2014-09-29,25
2014-09-30,24
