"start","Happy.Ending.movie."
2014-12-01,100
2014-12-02,82
2014-12-03,81
2014-12-04,80
2014-12-05,85
2014-12-06,98
2014-12-07,94
2014-12-08,57
2014-12-09,41
2014-12-10,44
2014-12-11,48
2014-12-12,52
2014-12-13,62
2014-12-14,57
2014-12-15,34
2014-12-16,31
2014-12-17,35
2014-12-18,37
2014-12-19,37
2014-12-20,55
2014-12-21,51
2014-12-22,36
2014-12-23,41
2014-12-24,50
2014-12-25,59
2014-12-26,54
2014-12-27,50
2014-12-28,41
2014-12-29,40
2014-12-30,42
2014-12-31,48
