"start","Happy.Ending.movie."
2015-01-01,100
2015-01-02,99
2015-01-03,93
2015-01-04,87
2015-01-05,67
2015-01-06,55
2015-01-07,55
2015-01-08,59
2015-01-09,60
2015-01-10,72
2015-01-11,75
2015-01-12,62
2015-01-13,50
2015-01-14,51
2015-01-15,49
2015-01-16,57
2015-01-17,73
2015-01-18,61
2015-01-19,39
2015-01-20,47
2015-01-21,42
2015-01-22,43
2015-01-23,43
2015-01-24,57
2015-01-25,56
2015-01-26,44
2015-01-27,30
2015-01-28,25
2015-01-29,30
2015-01-30,35
2015-01-31,43
