"","movies","W1","lang","q1","q2","q3","q4","q5","q6","gross"
"1","2 States",58.51,"H",0.0423985507246377,0.0634357847671909,0.0766623857524125,0.0846331649731918,0.0862542550205851,0.089190306522731,102.03
"2","300 Rise of an Empire",22.6,"E",0.02825,0.034760172143975,0.0449065136073896,0.0449065136073896,0.0449065136073896,0.0449065136073896,28.56
"3","47 Ronin",1.45,"E",0.00533088235294118,0.00633088235294118,0.00633088235294118,0.00633088235294118,0.00633088235294118,0.00633088235294118,1.55
"4","A Good Day To Die Hard ",5.25,"E",0.00807692307692308,0.0117132867132867,0.0123799533799534,0.01304662004662,0.01304662004662,0.01304662004662,6.4
"5","Aatma",8.26,"H",0.00623396226415094,0.00724847473580627,0.00826328955062109,0.00891051177284331,0.00949988677284331,0.0104428867728433,8.78
"6","ABCD 2",70.8,"H",0.0394648829431438,0.0571220258002867,0.0642304595352264,0.0670774346241944,0.0677374346241944,0.0692041012908611,104.33
"7","Action Jackson",45.16,"H",0.0190147368421053,0.0285679456154603,0.0301170253700615,0.0317876136053556,0.0325542802720223,0.034323511041253,57.78
"8","After Earth",6,"E",0.0113207547169811,0.0113207547169811,0.0113207547169811,0.0113207547169811,0.0113207547169811,0.0113207547169811,6
"9","All Is Well",15.3,"H",0.0109285714285714,0.012834632034632,0.013897132034632,0.014917132034632,0.014917132034632,0.014917132034632,15.73
"10","Alone",17.1,"H",0.0105555555555556,0.0144444444444444,0.017016142557652,0.0179074469054781,0.0183215469054781,0.0193567969054781,19.37
"11","Aurangzeb",18.47,"H",0.0153916666666667,0.0196419764560099,0.0210694764560099,0.0226184126262227,0.023487977843614,0.0253061596617958,22.35
"12","Baby",50.71,"H",0.0289440639269406,0.0420864787876218,0.0523620055299232,0.0584440100857319,0.0597089389956845,0.0648416313033768,78.77
"13","Bahubali (Hindi)",41.29,"H",0.0304050073637703,0.0580781061151891,0.0857971782801376,0.100025901684393,0.104589764612742,0.110693931279408,110.94
"14","Bajrangi Bhaijaan",184.62,"H",0.0723149236192714,0.111171045156358,0.138274818741264,0.151679580646026,0.153649277615723,0.156475364572244,316.79
"15","Bang Bang",115.25,"H",0.0499350086655113,0.0620521780390611,0.0686178346047177,0.071942946712341,0.0727137159431103,0.0743837159431103,144.86
"16","Besharam",49.76,"H",0.0241202132816287,0.0291819416766904,0.0305455780403268,0.0372122447069934,0.0374122447069934,0.0376122447069934,54.02
"17","Bewakoofiyaan",11.37,"H",0.007782340862423,0.009057340862423,0.0103359122909944,0.0103359122909944,0.0103359122909944,0.0103359122909944,12.46
"18","Bhaag Milkha Bhaag",52.83,"H",0.0364344827586207,0.0605305279563608,0.0774360315908364,0.0923070482827939,0.0947349970007426,0.098713568429314,108.93
"19","Bhoot Returns",4.69,"H",0.00501604278074866,0.00576828637049225,0.00672384192604781,0.00672384192604781,0.00672384192604781,0.00672384192604781,4.96
"20","Bhoothnath Returns",27.3,"H",0.0208396946564885,0.0289714311834347,0.0312661680255399,0.0324600647391549,0.0328733980724883,0.0337591123582026,35.51
"21","Bhopal A Prayer For Rain",1.11,"H",0.00304945054945055,0.00501774323237738,0.0313177432323774,0.0609427432323774,0.0621414932323774,0.0633402432323774,1.36
"22","Bombay Talkies",5.64,"H",0.0158426966292135,0.0231093632958802,0.0252293632958802,0.0273602143597099,0.0279684286454242,0.0289145397565353,8.49
"23","Bombay Velvet",21.15,"H",0.0120719178082192,0.01332394395201,0.01460394395201,0.0158353725234386,0.0162716225234386,0.0180166225234386,22.14
"24","Brothers",71.24,"H",0.0296216216216216,0.0359770973846378,0.0387652054927459,0.0393862581243248,0.0396679051831484,0.0403519051831484,78.87
"25","Chashme Baddoor",29.31,"H",0.0221207547169811,0.031389047399908,0.035639047399908,0.0382488034974689,0.0387629211445278,0.0401285461445278,41.68
"26","Chennai Express",151.93,"H",0.0638361344537815,0.0886816155033442,0.102725239664418,0.113015094736882,0.11419287251466,0.117726205847993,218.53
"27","D-Day",14.61,"H",0.0141707080504365,0.0200340174029545,0.024818190064825,0.0261529122870472,0.0272922565493423,0.0286822565493423,19.56
