"","movies","W1","lang","q1","q2","q3","q4","q5","q6","gross"
"28","Daawat-e-Ishq",20.23,"H",0.0134240212342402,0.018510129156169,0.0194197181972649,0.0207788091063558,0.0213840091063558,0.0225944091063558,24.76
"29","Dabangg 2",100.37,"H",0.0464031437817846,0.0658793597090962,0.07423756866432,0.0798638956282266,0.081161363982657,0.0843152101365032,150.83
"30","David",3.3,"H",0.00565068493150685,0.00618388493150685,0.00824638493150685,0.0107463849315069,0.0107463849315069,0.0107463849315069,3.37
"31","Dawn of the Planet of the Apes",12.2,"E",0.0174285714285714,0.0216968641114983,0.0223817956183476,0.0223817956183476,0.0223817956183476,0.0223817956183476,14.05
"32","Dedh Ishqiya",17.98,"H",0.01755859375,0.0254139859068627,0.0276245122226522,0.0299336426574348,0.0302812154729688,0.0311991641909175,25.97
"33","Dhoom 3",172.82,"H",0.0659870179457808,0.0930100162422033,0.105113290801397,0.109963076209123,0.110214266685313,0.111269266685313,261.25
"34","Dil Dhadakne Do",56.06,"H",0.0449198717948718,0.0592574576633703,0.0667068503759209,0.0711080479807114,0.0717235347063751,0.0731007624291474,76.31
"35","Dirty Politics",5.91,"H",0.00578844270323213,0.00701104157328862,0.00822854157328862,0.00944520823995529,0.00995595823995529,0.0111233868113839,6.3
"36","Dolly Ki Doli",11.68,"H",0.0113068731848984,0.0127443731848984,0.0337180573954247,0.035829822101307,0.035829822101307,0.035829822101307,12.96
"37","Dragon Blade",1.95,"E",0.00292353823088456,0.00292353823088456,0.00292353823088456,0.00292353823088456,0.00292353823088456,0.00292353823088456,1.95
"38","Drishyam",44.26,"H",0.0277492163009404,0.0413466806432542,0.0510886161271252,0.0562410551515154,0.0569417833068552,0.0594742394472061,75.09
"39","Dum Laga Ke Haisha",8.8,"H",0.011443433029909,0.0244134602778654,0.0316532792823903,0.0365548110110555,0.0372778084270761,0.0418646936729778,28.61
"40","Ek Villain",72.34,"H",0.0404586129753915,0.0573080338248124,0.0624863020760857,0.0662283475306311,0.0678958475306311,0.0699802225306311,98.86
"41","Everest",7.5,"E",0.0136363636363636,0.0136363636363636,0.0136363636363636,0.0136363636363636,0.0136363636363636,0.0136363636363636,7.5
"42","Exodus Gods and Kings",11,"E",0.0151724137931034,0.0198235765838011,0.0211569099171345,0.0211569099171345,0.0211569099171345,0.0211569099171345,13.1
"43","Fantastic Four",6.25,"E",0.00892857142857143,0.0111952380952381,0.0111952380952381,0.0111952380952381,0.0111952380952381,0.0111952380952381,6.42
"44","Filmistaan",4.55,"E",0.0112345679012346,0.0151360830527497,0.0189990967513799,0.0193801778324609,0.0210901778324609,0.0229901778324609,6.28
"45","Finding Fanny",23.33,"H",0.0281084337349398,0.036381161007667,0.0387665268613256,0.0407119814067801,0.0407119814067801,0.0407119814067801,27.61
"46","Furious 7",69.65,"E",0.0870625,0.143880681818182,0.188466669079328,0.188466669079328,0.188466669079328,0.188466669079328,96.65
"47","Gabbar Is Back",55.76,"H",0.0249485458612975,0.0369770397554631,0.0424564918102576,0.0450398251435909,0.046201399217665,0.0487879971558093,78.77
"48","Go Goa Gone",18.63,"H",0.0164140969162996,0.0224893657335039,0.0270259510993575,0.0286540212747961,0.029286164131939,0.0305504498462247,25.16
"49","Godzilla",22.4,"E",0.028,0.028,0.028,0.028,0.028,0.028,22.4
"50","Gori Tere Pyaar Mein",12.37,"H",0.0103862300587741,0.0158435471319449,0.0163846663533561,0.0169534163533561,0.0169534163533561,0.0169534163533561,16.32
"51","Grand Masti",65.49,"H",0.0354574986464537,0.0496127128744246,0.0559216860474126,0.0584547256949897,0.0590045355809212,0.0599255546892015,93.81
"52","Gunday",59.06,"H",0.0307284079084287,0.0390593738175196,0.0410701265056917,0.0428562967184576,0.0433687967184576,0.0454187967184576,72.91
"53","Haider",35.17,"H",0.0333049242424242,0.0457002730796335,0.0508338877069191,0.0534013575864371,0.0543846909197705,0.0565583751302968,50.06
"54","Hamari Adhuri Kahani",26.49,"H",0.0219651741293532,0.0277973978310843,0.0303876313767318,0.0326003973341786,0.033183730667512,0.0344564579402392,32.35
"55","Happy Ending",18.32,"H",0.0121485411140584,0.0146844262815225,0.0400044262815225,0.0425901405672368,0.0425901405672368,0.0425901405672368,19.47
"56","Hasee Toh Phasee",25.51,"H",0.0203916866506795,0.0312286910559658,0.0358001196273944,0.0404174529607277,0.040865286294061,0.041940086294061,35.18
"57","Hate Story 2",21.82,"H",0.0156191839656407,0.0479706691141555,0.0490581691141555,0.0501541691141555,0.0506571994171858,0.0517638660838525,23.46
"58","Heropanti",34.16,"H",0.0228801071667783,0.0350378194718043,0.0404521841126883,0.0422003983984025,0.0429937317317359,0.0448531067317359,50.69
"59","Highway",21.73,"H",0.0262756952841596,0.0348849668073384,0.0403218600112219,0.043850065139427,0.0454333984727604,0.048786339649231,28.81
"60","Himmatwala",40.53,"H",0.0190103189493433,0.0239941899170853,0.0252158273439859,0.0281533273439859,0.0292418987725573,0.0308984205116877,47.45
"61","Holiday ",65.8,"H",0.0334010152284264,0.053638169378624,0.065981919378624,0.0715808777119574,0.0727338188884279,0.0753471522217613,110
"62","Horror Story",4.43,"H",0.00486813186813187,0.00685751239910532,0.00804810063439944,0.00877355517985398,0.00916498375128255,0.00984998375128255,4.83
"63","Humpty Sharma Ki Dulhania",51.58,"H",0.0339565503620803,0.0520522351650822,0.0625268114362686,0.0674136892643229,0.0679960422054994,0.0692986737844468,75.23
"64","Humshakals",51.35,"H",0.0271693121693122,0.0315148057315439,0.0318655633073015,0.0324773280131839,0.0328252613465172,0.0335708327750886,55.48
"65","Hunterrr",7.96,"H",0.00807302231237323,0.0118173145498161,0.0153538224863241,0.0182216796291812,0.0189625887200903,0.0205925887200903,10.77
"66","I (Hindi)",9.66,"H",0.007546875,0.00901826464577657,0.0104936744818421,0.0119753817989153,0.0126587151322486,0.0141962151322486,11.22
"67","Iron Man 3",34.5,"E",0.0383333333333333,0.0528787878787879,0.0578787878787879,0.0598787878787879,0.0598787878787879,0.0598787878787879,44.5
"68","Jackpot",4.97,"H",0.0039601593625498,0.00468643673481257,0.00556768673481257,0.00643359582572166,0.00683922740466903,0.00769556073800237,5.23
"69","Jai Ho",84.46,"H",0.0364838012958963,0.0495161018891725,0.0526128760827209,0.0537696328394777,0.0542149158583456,0.0551982491916789,108.05
"70","Jazbaa",20.3,"H",0.0161881977671451,0.0161881977671451,0.0161881977671451,0.0161881977671451,0.0161881977671451,0.0161881977671451,20.3
"71","Jolly LLB",19.03,"H",0.0255093833780161,0.0404246376153042,0.045506604828419,0.0494808153547348,0.0512313204052398,0.0555638204052398,31.43
"72","Jurassic World",39.9,"E",0.0234705882352941,0.0362501409509491,0.0477501409509491,0.058094968537156,0.059094968537156,0.0702060796482671,77.3
"73","Kai Po Che",27.47,"H",0.0425891472868217,0.0688136370827401,0.0805077547297989,0.0848361129387541,0.0860103064871412,0.0898019731538079,48.58
"74","Katti Batti",21.27,"H",0.0223894736842105,0.0266552079499448,0.0276183658446816,0.0285350325113483,0.0285350325113483,0.0285350325113483,23.31
"75","Khoobsurat",16.11,"H",0.0189084507042254,0.0339764118692739,0.040962522980385,0.0437779075957696,0.045011240929103,0.0474779075957696,24.75
"76","Kill Dil",27.32,"H",0.0147357065803668,0.0183601607288384,0.019691708347886,0.0210330416812193,0.0214120972367749,0.0222649722367749,30.16
"77","Kingsman The Secret Service",4.25,"E",0.0085,0.0169090909090909,0.0169090909090909,0.0169090909090909,0.0169090909090909,0.0169090909090909,6.1
"78","Krrish 3",139.68,"H",0.0553407290015848,0.0777784427289907,0.0859355989497578,0.0896257397948282,0.090372820086799,0.0913713566721649,198.63
"79","Lingaa (Hindi)",3.95,"E",0.00473053892215569,0.00708079144740821,0.00947507716169393,0.0119884104950273,0.0129425354950273,0.0148507854950273,5.03
"80","Mere Dad Ki Maruti",7.45,"H",0.0085632183908046,0.0126965517241379,0.0154685724495265,0.0179270339879881,0.0214175101784643,0.0249079863689405,11.55
"81","Mission Impossible Rogue Nation",38,"E",0.0463414634146341,0.065949306551889,0.065949306551889,0.065949306551889,0.065949306551889,0.065949306551889,48
"82","Mr. X",18.14,"H",0.013567688855647,0.0171218084033045,0.0179938084033045,0.0188847174942136,0.0193257174942136,0.0203179674942136,20.43
"83","MSG The Messenger ",35,"H",0.0175,0.0358168316831683,0.0442659057572424,0.0525380439861841,0.0541363098821378,0.0587446432154712,67.21
"84","Murder 3",16.84,"H",0.01114493712773,0.0127331724218476,0.0143185890885143,0.0153873390885143,0.0153873390885143,0.0153873390885143,18.31
"85","Nautanki Saala",16.44,"H",0.0172870662460568,0.0229924926026459,0.0265557109934505,0.0277807109934505,0.0283491395648791,0.0296754728982124,21.7
"86","NH 10",19.41,"H",0.0162972292191436,0.0247902049534986,0.0308852462758127,0.0332115174622533,0.0339230559237918,0.0354647225904585,29.25
"87","Oblivion",2.8,"E",0.0130232558139535,0.0130232558139535,0.0130232558139535,0.0130232558139535,0.0130232558139535,0.0130232558139535,2.8
"88","Phantom",45.34,"H",0.0219139681005317,0.0265753676490644,0.0290986234630179,0.0314224329868274,0.0314224329868274,0.0314224329868274,50.1
"89","Piku",40.82,"H",0.0490036014405762,0.0777205825726517,0.0914815155172581,0.0988006644534283,0.0997183787391426,0.103733378739143,77.78
"90","PK",171.21,"H",0.072149178255373,0.115036437650423,0.140579715735138,0.153605466808099,0.155790651993284,0.162731828463873,324.27
"91","Policegiri",13.67,"H",0.00939518900343643,0.0155490351572826,0.0169326715209189,0.0183693381875856,0.0184354631875856,0.0193171298542523,16.81
"92","Queen",18.2,"H",0.0220072551390568,0.0452399595415726,0.0609988881130011,0.0714929592592462,0.0744386461602046,0.0781714396824718,56.38
"93","R Rajkumar",40.98,"H",0.0208549618320611,0.0317226716471393,0.0337793518090826,0.0365157154454463,0.0365157154454463,0.0365157154454463,58.09
"94","Raanjhanaa",32.42,"H",0.0239438700147711,0.0392070279095079,0.0477535395374149,0.0566907376050477,0.0584580845438232,0.060544831531775,58.94
"95","Race 2",66.77,"H",0.032209358417752,0.0465354596669302,0.0539354596669302,0.0565543699233405,0.0578783699233405,0.0607318181992026,96.34
"96","Ragini MMS 2",36.41,"H",0.0199835345773875,0.0267934519327594,0.0279842033778461,0.0291765110701538,0.0297178903804986,0.0308808533434616,45.99
"97","Ramaiya Vastavaiya",21.68,"H",0.0157902403495994,0.0199670696178921,0.0233817037642336,0.0244983704309002,0.0254539259864558,0.0265921612805734,27.87
"98","Robocop ",2.95,"E",0.00904907975460123,0.00904907975460123,0.00904907975460123,0.00904907975460123,0.00904907975460123,0.00904907975460123,2.95
"99","Roy",38.23,"H",0.0225945626477541,0.0256022747300163,0.0287222747300163,0.0287222747300163,0.0287222747300163,0.0287222747300163,40.62
"100","Rudhramadevi (Hindi)",1.95,"E",0.00423913043478261,0.00423913043478261,0.00423913043478261,0.00423913043478261,0.00423913043478261,0.00423913043478261,1.95
"101","Tanu Weds Manu Returns",70.02,"H",0.0397163925127623,0.0673227754914857,0.0865150831837934,0.0988192306492312,0.102814766363517,0.108110624351683,151.09
"102","Tevar",32.64,"H",0.0163937719738825,0.020971961274294,0.0243810521833849,0.0260710521833849,0.0264979271833849,0.0273516771833849,37.16
"103","The Lunchbox",10.1,"H",0.0261658031088083,0.0464248704663212,0.051677788754259,0.0556903636045584,0.0561203636045584,0.057075919160114,20.19
"104","The Shaukeens",18.88,"H",0.012722371967655,0.0149904132047684,0.0171848576492128,0.0183715243158795,0.0183715243158795,0.0183715243158795,20.92
"105","The Xpose",12.16,"H",0.0101587301587302,0.0112261613513907,0.0121568280180574,0.0130803574298221,0.0134779199298221,0.0142730449298221,12.77
"106","X Men Days of Future Past ",25.6,"E",0.0275268817204301,0.045013069565734,0.0504867537762603,0.0532645315540381,0.0532645315540381,0.0532645315540381,38.26
"107","Yaariyan",25.95,"H",0.0215531561461794,0.0283478740333343,0.0306381705292911,0.0329419679976456,0.0332900812051927,0.0343753753228398,36.91
"108","Yeh Jawaani Hai Deewani",106.71,"H",0.0484604904632153,0.0821358907543361,0.102949844242708,0.114087344242708,0.115087344242708,0.118723707879072,185.83
"109","Youngistaan",6.13,"H",0.00543921916592724,0.00657816844128956,0.00772816844128956,0.0088741143872355,0.0088741143872355,0.0088741143872355,6.91
"110","Zanjeer",14.1,"H",0.00746822033898305,0.00843399574005257,0.00913794310847362,0.00913794310847362,0.00913794310847362,0.00913794310847362,14.34
