"start","Nautanki.Saala.movie."
2013-04-01,16
2013-04-02,14
2013-04-03,15
2013-04-04,16
2013-04-05,19
2013-04-06,16
2013-04-07,21
2013-04-08,16
2013-04-09,16
2013-04-10,18
2013-04-11,30
2013-04-12,96
2013-04-13,100
2013-04-14,87
2013-04-15,55
2013-04-16,49
2013-04-17,40
2013-04-18,46
2013-04-19,49
2013-04-20,50
2013-04-21,43
2013-04-22,30
2013-04-23,25
2013-04-24,28
2013-04-25,25
2013-04-26,27
2013-04-27,37
2013-04-28,27
2013-04-29,17
2013-04-30,21
