"start","Nautanki.Saala.movie."
2013-05-01,82
2013-05-02,74
2013-05-03,80
2013-05-04,100
2013-05-05,71
2013-05-06,45
2013-05-07,52
2013-05-08,53
2013-05-09,68
2013-05-10,85
2013-05-11,81
2013-05-12,72
2013-05-13,57
2013-05-14,56
2013-05-15,51
2013-05-16,44
2013-05-17,41
2013-05-18,71
2013-05-19,60
2013-05-20,47
2013-05-21,46
2013-05-22,49
2013-05-23,43
2013-05-24,56
2013-05-25,61
2013-05-26,55
2013-05-27,52
2013-05-28,36
2013-05-29,34
2013-05-30,46
2013-05-31,36
