"","start","After.Earth."
"1",2013-07-01,92
"2",2013-07-02,79
"3",2013-07-03,78
"4",2013-07-04,74
"5",2013-07-05,81
"6",2013-07-06,95
"7",2013-07-07,97
"8",2013-07-08,69
"9",2013-07-09,63
"10",2013-07-10,66
"11",2013-07-11,61
"12",2013-07-12,67
"13",2013-07-13,86
"14",2013-07-14,84
"15",2013-07-15,61
"16",2013-07-16,54
"17",2013-07-17,55
"18",2013-07-18,53
"19",2013-07-19,55
"20",2013-07-20,72
"21",2013-07-21,73
"22",2013-07-22,55
"23",2013-07-23,59
"24",2013-07-24,69
"25",2013-07-25,72
"26",2013-07-26,76
"27",2013-07-27,92
"28",2013-07-28,100
"29",2013-07-29,65
"30",2013-07-30,56
"31",2013-07-31,52
