"","start","After.Earth."
"1",2013-06-01,100
"2",2013-06-02,94
"3",2013-06-03,69
"4",2013-06-04,56
"5",2013-06-05,55
"6",2013-06-06,60
"7",2013-06-07,79
"8",2013-06-08,92
"9",2013-06-09,84
"10",2013-06-10,49
"11",2013-06-11,42
"12",2013-06-12,42
"13",2013-06-13,39
"14",2013-06-14,41
"15",2013-06-15,50
"16",2013-06-16,46
"17",2013-06-17,29
"18",2013-06-18,28
"19",2013-06-19,24
"20",2013-06-20,23
"21",2013-06-21,25
"22",2013-06-22,34
"23",2013-06-23,34
"24",2013-06-24,24
"25",2013-06-25,20
"26",2013-06-26,19
"27",2013-06-27,19
"28",2013-06-28,23
"29",2013-06-29,27
"30",2013-06-30,28
