"start","Haider.movie."
2014-12-01,61
2014-12-02,52
2014-12-03,44
2014-12-04,59
2014-12-05,58
2014-12-06,88
2014-12-07,70
2014-12-08,50
2014-12-09,38
2014-12-10,49
2014-12-11,51
2014-12-12,57
2014-12-13,84
2014-12-14,72
2014-12-15,44
2014-12-16,45
2014-12-17,47
2014-12-18,45
2014-12-19,55
2014-12-20,75
2014-12-21,72
2014-12-22,52
2014-12-23,59
2014-12-24,72
2014-12-25,94
2014-12-26,85
2014-12-27,99
2014-12-28,91
2014-12-29,75
2014-12-30,77
2014-12-31,100
