"start","end","Haider.movie."
2014-08-03,2014-08-09,3
2014-08-10,2014-08-16,4
2014-08-17,2014-08-23,7
2014-08-24,2014-08-30,14
2014-08-31,2014-09-06,11
2014-09-07,2014-09-13,10
2014-09-14,2014-09-20,9
2014-09-21,2014-09-27,11
2014-09-28,2014-10-04,90
2014-10-05,2014-10-11,100
2014-10-12,2014-10-18,47
2014-10-19,2014-10-25,29
2014-10-26,2014-11-01,19
2014-11-02,2014-11-08,13
2014-11-09,2014-11-15,9
2014-11-16,2014-11-22,7
2014-11-23,2014-11-29,6
2014-11-30,2014-12-06,5
