"start","Haider.movie."
2014-12-01,57
2014-12-02,47
2014-12-03,39
2014-12-04,51
2014-12-05,61
2014-12-06,85
2014-12-07,67
2014-12-08,51
2014-12-09,37
2014-12-10,48
2014-12-11,48
2014-12-12,58
2014-12-13,81
2014-12-14,66
2014-12-15,43
2014-12-16,41
2014-12-17,49
2014-12-18,45
2014-12-19,51
2014-12-20,73
2014-12-21,67
2014-12-22,49
2014-12-23,60
2014-12-24,68
2014-12-25,95
2014-12-26,82
2014-12-27,100
2014-12-28,87
2014-12-29,74
2014-12-30,75
2014-12-31,98
