"start","Dolly.Ki.Doli.movie."
2015-02-01,100
2015-02-02,64
2015-02-03,53
2015-02-04,47
2015-02-05,50
2015-02-06,53
2015-02-07,64
2015-02-08,50
2015-02-09,30
2015-02-10,24
2015-02-11,26
2015-02-12,29
2015-02-13,32
2015-02-14,38
2015-02-15,34
2015-02-16,27
2015-02-17,23
2015-02-18,28
2015-02-19,24
2015-02-20,25
2015-02-21,31
2015-02-22,25
2015-02-23,16
2015-02-24,15
2015-02-25,15
2015-02-26,15
2015-02-27,19
2015-02-28,27
