"start","Dolly.Ki.Doli.movie."
2014-12-01,0
2014-12-02,0
2014-12-03,0
2014-12-04,0
2014-12-05,1
2014-12-06,1
2014-12-07,1
2014-12-08,1
2014-12-09,0
2014-12-10,0
2014-12-11,1
2014-12-12,4
2014-12-13,3
2014-12-14,3
2014-12-15,2
2014-12-16,1
2014-12-17,1
2014-12-18,1
2014-12-19,1
2014-12-20,2
2014-12-21,3
2014-12-22,3
2014-12-23,4
2014-12-24,3
2014-12-25,5
2014-12-26,4
2014-12-27,4
2014-12-28,4
2014-12-29,4
2014-12-30,4
2014-12-31,5
2015-01-01,3
2015-01-02,5
2015-01-03,5
2015-01-04,4
2015-01-05,4
2015-01-06,5
2015-01-07,4
2015-01-08,5
2015-01-09,5
2015-01-10,6
2015-01-11,6
2015-01-12,4
2015-01-13,5
2015-01-14,5
2015-01-15,5
2015-01-16,7
2015-01-17,10
2015-01-18,14
2015-01-19,9
2015-01-20,10
2015-01-21,10
2015-01-22,20
2015-01-23,74
2015-01-24,100
2015-01-25,84
2015-01-26,55
2015-01-27,51
2015-01-28,41
2015-01-29,39
2015-01-30,38
2015-01-31,48
