"start","Murder.3.movie."
2013-02-01,13
2013-02-02,17
2013-02-03,18
2013-02-04,10
2013-02-05,11
2013-02-06,12
2013-02-07,12
2013-02-08,11
2013-02-09,15
2013-02-10,13
2013-02-11,13
2013-02-12,13
2013-02-13,12
2013-02-14,24
2013-02-15,74
2013-02-16,100
2013-02-17,73
2013-02-18,53
2013-02-19,49
2013-02-20,48
2013-02-21,41
2013-02-22,44
2013-02-23,53
2013-02-24,39
2013-02-25,30
2013-02-26,24
2013-02-27,25
2013-02-28,22
