"start","Murder.3.movie."
2013-03-01,92
2013-03-02,100
2013-03-03,82
2013-03-04,59
2013-03-05,58
2013-03-06,59
2013-03-07,63
2013-03-08,55
2013-03-09,75
2013-03-10,66
2013-03-11,53
2013-03-12,51
2013-03-13,50
2013-03-14,44
2013-03-15,56
2013-03-16,66
2013-03-17,67
2013-03-18,48
2013-03-19,41
2013-03-20,47
2013-03-21,35
2013-03-22,42
2013-03-23,59
2013-03-24,66
2013-03-25,39
2013-03-26,38
2013-03-27,40
2013-03-28,42
2013-03-29,35
2013-03-30,39
2013-03-31,40
