"start","Zanjeer.movie."
2013-10-01,62
2013-10-02,59
2013-10-03,60
2013-10-04,68
2013-10-05,100
2013-10-06,84
2013-10-07,56
2013-10-08,53
2013-10-09,59
2013-10-10,50
2013-10-11,68
2013-10-12,84
2013-10-13,75
2013-10-14,53
2013-10-15,61
2013-10-16,48
2013-10-17,54
2013-10-18,54
2013-10-19,57
2013-10-20,78
2013-10-21,39
2013-10-22,45
2013-10-23,50
2013-10-24,45
2013-10-25,54
2013-10-26,69
2013-10-27,54
2013-10-28,40
2013-10-29,44
2013-10-30,40
2013-10-31,35
