"start","Zanjeer.movie."
2013-09-01,11
2013-09-02,7
2013-09-03,8
2013-09-04,8
2013-09-05,19
2013-09-06,100
2013-09-07,65
2013-09-08,44
2013-09-09,27
2013-09-10,26
2013-09-11,19
2013-09-12,18
2013-09-13,16
2013-09-14,17
2013-09-15,13
2013-09-16,9
2013-09-17,7
2013-09-18,8
2013-09-19,8
2013-09-20,8
2013-09-21,9
2013-09-22,9
2013-09-23,5
2013-09-24,5
2013-09-25,5
2013-09-26,4
2013-09-27,5
2013-09-28,7
2013-09-29,7
2013-09-30,4
