"","start","Action.Jackson."
"1",2015-01-01,100
"2",2015-01-02,85
"3",2015-01-03,88
"4",2015-01-04,83
"5",2015-01-05,62
"6",2015-01-06,60
"7",2015-01-07,56
"8",2015-01-08,52
"9",2015-01-09,56
"10",2015-01-10,65
"11",2015-01-11,61
"12",2015-01-12,49
"13",2015-01-13,45
"14",2015-01-14,47
"15",2015-01-15,45
"16",2015-01-16,47
"17",2015-01-17,55
"18",2015-01-18,51
"19",2015-01-19,38
"20",2015-01-20,41
"21",2015-01-21,37
"22",2015-01-22,37
"23",2015-01-23,38
"24",2015-01-24,47
"25",2015-01-25,45
"26",2015-01-26,34
"27",2015-01-27,31
"28",2015-01-28,32
"29",2015-01-29,31
"30",2015-01-30,30
"31",2015-01-31,40
