"start","Everest.movie."
2015-10-01,57
2015-10-02,69
2015-10-03,100
2015-10-04,81
2015-10-05,40
2015-10-06,37
2015-10-07,34
2015-10-08,30
2015-10-09,45
2015-10-10,64
2015-10-11,52
2015-10-12,33
2015-10-13,25
2015-10-14,23
2015-10-15,22
2015-10-16,28
2015-10-17,37
2015-10-18,32
2015-10-19,17
2015-10-20,15
2015-10-21,15
2015-10-22,18
2015-10-23,32
2015-10-24,50
2015-10-25,45
2015-10-26,27
2015-10-27,21
2015-10-28,20
2015-10-29,20
2015-10-30,22
2015-10-31,30
