"start","Everest.movie."
2015-09-01,8
2015-09-02,11
2015-09-03,10
2015-09-04,10
2015-09-05,14
2015-09-06,12
2015-09-07,14
2015-09-08,10
2015-09-09,10
2015-09-10,12
2015-09-11,19
2015-09-12,23
2015-09-13,22
2015-09-14,18
2015-09-15,21
2015-09-16,29
2015-09-17,43
2015-09-18,78
2015-09-19,100
2015-09-20,84
2015-09-21,48
2015-09-22,47
2015-09-23,50
2015-09-24,55
2015-09-25,68
2015-09-26,93
2015-09-27,78
2015-09-28,39
2015-09-29,36
2015-09-30,33
