"start","D.Day.movie."
2013-07-01,8
2013-07-02,8
2013-07-03,7
2013-07-04,6
2013-07-05,7
2013-07-06,9
2013-07-07,5
2013-07-08,4
2013-07-09,4
2013-07-10,8
2013-07-11,5
2013-07-12,4
2013-07-13,8
2013-07-14,11
2013-07-15,9
2013-07-16,15
2013-07-17,14
2013-07-18,27
2013-07-19,88
2013-07-20,100
2013-07-21,96
2013-07-22,59
2013-07-23,41
2013-07-24,42
2013-07-25,35
2013-07-26,36
2013-07-27,57
2013-07-28,37
2013-07-29,25
2013-07-30,20
2013-07-31,17
