"movies","p0","p1","p2","p3","p4","p5","p6"
"2 States",11.4075436998821,26.4949402019044,18.2152713888093,14.0754369822617,12.0055197789879,9.5216191350594,8.27966881309513
"300 Rise of an Empire",2.94539623596928,27.8504515148958,22.3647565195375,15.6131319098658,11.8153430669255,10.9713899907165,8.43953076208963
"47 Ronin",8.88833869769745,19.8068828918049,18.8165387472147,16.340678385739,12.8744738796732,12.8744738796732,10.3986135181976
"A Good Day To Die Hard ",2.61780104712042,7.32984293193717,23.5602094240838,26.1780104712042,18.848167539267,11.7801047120419,9.68586387434555
"Aatma",21.0815766076246,26.9477543291038,16.6819431561119,11.5490375696159,8.98258477636793,7.69935837974394,7.05774518143195
"ABCD 2",11.839863713799,26.4054514480409,17.0357751277683,13.6286201022147,12.7768313458262,10.221465076661,8.09199318568995
"Action Jackson",16.4345403899721,28.4122562674095,19.4986072423398,13.3704735376045,8.91364902506964,7.24233983286908,6.12813370473538
"After Earth",10.9848484848485,23.2007575757576,17.0454545454545,14.2045454545455,12.3106060606061,10.8901515151515,11.3636363636364
"All Is Well",21.359223301665,27.0079435125595,16.6813768754044,11.5180935568268,9.92939099726452,7.14916151803046,6.3548102382493
"Alone",23.6690185967716,24.246311739849,16.164207826566,11.6741500969643,9.87812700512368,7.63309814032284,6.73508659440251
"Aurangzeb",11.3742071881607,33.1501057082452,16.9133192389006,11.5010570824524,8.79492600422833,7.44186046511628,10.8245243128964
"Baby",6.60376321906362,27.4694814061578,18.479469309597,14.4839083777923,14.4839083777923,9.48945721303632,8.99001209656072
"Bahubali (Hindi)",5.25914612483036,30.1829268982841,20.1219512655228,15.9298780852055,12.15701222292,9.22256099669793,7.12652440653931
"Bajrangi Bhaijaan",12.031844472301,28.6852681068584,19.1235120712389,13.8645462516482,10.9960194409624,8.60558043205751,6.69322922493362
"Bang Bang",26.054303870595,13.8648180242634,12.0161756210283,12.9404968226459,11.0918544194107,12.0161756210283,12.0161756210283
"Besharam",10.1731601731602,36.7965367965368,20.5627705627706,11.3636363636364,8.65800865800866,7.03463203463203,5.41125541125541
"Bewakoofiyaan",8.99315293221666,18.8172052207823,17.1065502007112,16.0801571886685,15.7380261846543,12.316716144512,10.9481921284551
"Bhaag Milkha Bhaag",2.14276310383843,30.1762404525608,20.261190018148,17.2435659728919,12.5015853303466,9.91505043441285,7.75960468780136
"Bhoot Returns",16.341422605572,31.8699342454964,18.7804969660961,10.813013404722,8.53658953004367,7.96748356137409,5.69105968669578
"Bhoothnath Returns",8.6491739552964,22.5461613216715,19.047619047619,14.3828960155491,12.4392614188533,11.6618075801749,11.2730806608358
"Bhopal A Prayer For Rain",11.4723817757524,31.9018444051343,19.1411066430806,15.9509222025671,8.77300721141193,7.17791499115521,5.5828227708985
"Bombay Talkies",7.93036750483559,38.6847195357834,18.1818181818182,12.7659574468085,9.28433268858801,7.35009671179884,5.8027079303675
"Bombay Velvet",9.86717267552182,35.1043643263757,19.9240986717268,12.3339658444023,8.53889943074004,7.59013282732448,6.64136622390892
"Brothers",15.3846152544379,28.7692308134911,17.4871795140828,12.4102564293491,10.1538461694675,8.46153847455621,7.33333334461538
"Chashme Baddoor",9.17225950782998,26.8456375838926,18.34451901566,15.6599552572707,12.0805369127517,9.84340044742729,8.05369127516779
"Chennai Express",8.66807610993657,27.4841437632135,19.8731501057082,15.2219873150106,11.4164904862579,9.30232558139535,8.0338266384778
