"start","Himmatwala.movie."
2013-06-01,100
2013-06-02,99
2013-06-03,68
2013-06-04,78
2013-06-05,56
2013-06-06,64
2013-06-07,94
2013-06-08,88
2013-06-09,72
2013-06-10,62
2013-06-11,56
2013-06-12,66
2013-06-13,66
2013-06-14,76
2013-06-15,94
2013-06-16,72
2013-06-17,61
2013-06-18,70
2013-06-19,73
2013-06-20,58
2013-06-21,71
2013-06-22,85
2013-06-23,63
2013-06-24,58
2013-06-25,47
2013-06-26,54
2013-06-27,62
2013-06-28,73
2013-06-29,93
2013-06-30,78
