"start","Himmatwala.movie."
2013-07-01,67
2013-07-02,82
2013-07-03,79
2013-07-04,66
2013-07-05,73
2013-07-06,100
2013-07-07,89
2013-07-08,63
2013-07-09,82
2013-07-10,56
2013-07-11,61
2013-07-12,69
2013-07-13,59
2013-07-14,88
2013-07-15,54
2013-07-16,62
2013-07-17,65
2013-07-18,61
2013-07-19,74
2013-07-20,80
2013-07-21,72
2013-07-22,46
2013-07-23,47
2013-07-24,51
2013-07-25,55
2013-07-26,65
2013-07-27,58
2013-07-28,66
2013-07-29,60
2013-07-30,51
2013-07-31,58
